NAV,7-Jan,10:00:12 AM
DGD,9-Jan,12:00:12 PM
GVT,13-Jan,12:00:13 PM
ICN,14-Jan,8:59:48 AM
BNT,20-Jan,11:00:09 AM
XZC,23-Jan,10:00:08 AM
BNT,27-Jan,10:00:00 AM
MOD,12-Feb,10:59:59 AM
PPC,17-Feb,10:00:05 AM
PTC,21-Feb,11:00:01 AM
REP,24-Feb,12:00:02 PM
OK,28-Feb,11:00:00 AM
DLT,11-Mar,1:00:12 PM
XST,16-Mar,11:00:00 AM
DNT,24-Mar,11:30:06 AM
ICN,4-Apr,12:00:08 PM
SNGLS,10-Apr,12:00:06 PM
TNT,14-Apr,10:00:29 AM
OAX,29-Apr,12:00:20 PM
YOYO,12-May,11:00:11 AM
CHAT,10-Jun,1:00:22 PM
CLOAK,1-Jul,12:00:02 PM
NXS,4-Jul,11:59:58 AM
QLC,28-Jul,12:00:08 PM
NAV,22-Sep,12:00:40 PM
DATA,29-Sep,12:00:26 PM
EVX,6-Oct,12:00:26 PM
POLY,14-Oct,12:01:02 PM
XZC,20-Oct,1:05:09 PM